,schoolcode,district,county,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,asian
0,522001040003,4,03,2017,0.0,89.0,0.0,0.0,0.0,92,18.4783,95.6522,2.1739,0.0,1.087
1,141901060008,6,08,2017,0.0,92.0,0.0,0.0,0.0,385,28.8312,89.8701,1.5584,5.1948,1.039
2,580224030008,3,08,2017,0.0,84.0,0.0,0.0,0.0,545,66.055,42.3853,8.2569,45.8716,2.0183
3,10100010034,1,34,2017,0.0,56.0,0.0,0.0,0.0,772,56.8653,14.8964,54.7927,16.3212,10.3627
5,10100860960,86,60,2017,0.0,61.0,0.0,0.0,0.0,168,82.7381,5.9524,71.4286,13.0952,4.1667
6,10201040001,4,01,2017,0.0,81.0,0.0,0.0,0.0,78,50.0,97.4359,1.2821,0.0,1.2821
7,10306060008,6,08,2017,0.0,94.0,0.0,0.0,0.0,285,16.1404,85.9649,3.5088,3.8596,5.9649
8,10402060001,6,01,2017,0.0,83.0,0.0,0.0,0.0,119,42.8571,83.1933,6.7227,7.563,0.0
9,10500010007,1,07,2017,0.0,69.0,0.0,0.0,0.0,170,72.9412,72.3529,14.1176,7.6471,1.1765
10,10601060008,6,08,2017,0.0,86.0,0.0,0.0,0.0,346,36.4162,65.0289,11.5607,7.2254,8.6705
11,10623060010,6,10,2017,0.0,97.0,0.0,0.0,0.0,422,25.5924,64.455,9.0047,9.2417,13.5071
12,10701030001,3,01,2017,0.0,44.0,0.0,0.0,0.0,64,75.0,82.8125,7.8125,6.25,0.0
13,10802060005,6,05,2017,0.0,87.0,0.0,0.0,0.0,349,29.7994,75.0716,8.0229,6.3037,5.1576
14,11003060002,6,02,2017,0.0,94.0,0.0,0.0,0.0,72,5.5556,94.4444,0.0,0.0,5.5556
15,11200010010,1,10,2017,0.0,65.0,0.0,0.0,0.0,141,72.3404,53.9007,18.4397,12.766,12.0567
16,20101040002,4,02,2017,0.0,89.0,0.0,0.0,0.0,51,25.4902,92.1569,0.0,0.0,5.8824
17,20601040001,4,01,2017,0.0,81.0,0.0,0.0,0.0,32,53.125,100.0,0.0,0.0,0.0
18,20702040001,4,01,2017,0.0,80.0,0.0,0.0,0.0,49,44.898,95.9184,0.0,0.0,0.0
19,20801040001,4,01,2017,0.0,95.0,0.0,0.0,0.0,17,76.4706,100.0,0.0,0.0,0.0
20,21102040001,4,01,2017,0.0,79.0,0.0,0.0,0.0,15,46.6667,93.3333,0.0,6.6667,0.0
21,21601040004,4,04,2017,0.0,77.0,0.0,0.0,0.0,34,58.8235,85.2941,0.0,8.8235,0.0
22,22001040001,4,01,2017,0.0,94.0,0.0,0.0,0.0,57,38.5965,98.2456,0.0,0.0,1.7544
23,22101040001,4,01,2017,0.0,99.0,0.0,0.0,0.0,18,44.4444,100.0,0.0,0.0,0.0
24,22302040001,4,01,2017,0.0,91.0,0.0,0.0,0.0,72,62.5,93.0556,1.3889,4.1667,1.3889
25,22401040003,4,03,2017,0.0,97.0,0.0,0.0,0.0,26,57.6923,100.0,0.0,0.0,0.0
